Gym,Location,Industry (according to MBO),Ranking
Akasha Studio,Boston,Yoga,
Back Bay Yoga Studio,Boston,Yoga,
Exhale Boston,Boston,Yoga,
Health Yoga Life,Boston,Yoga,
Innerglow Yoga,Boston,Yoga,
Karma Yoga Studio - Boston,Boston,Yoga,
"Karma Yoga Studio, Newbury St., Boston",Boston,Yoga,
North End Yoga,Boston,Yoga,
Om Warrior,Boston,Yoga,
Radiant Yoga Boston,Boston,Yoga,
Sadhana Yoga Studio,Boston,Yoga,
Samadhi Integral Life Practice Center,Boston,Yoga,
Studio J,Boston,Yoga,
Sweat and Soul Yoga,Boston,Yoga,
Boston Body,Boston,Pilates,
Btone Fitness,Boston,Pilates,
Core Balance,Boston,Pilates,
Core De Vie,Boston,Pilates,
Equinox Pilates - Boston,Boston,Pilates,
OMBE,Boston,Pilates,
Pilates Back Bay,Boston,Pilates,
Fisique Fitness,Boston,Health Club,
The Club,Boston,Health Club,
Ballroom in Boston,Boston,Dance,
Masacote Entertainment,Boston,Dance,
Boston's Bootcamps,Boston,Personal Trainer,
Burn Fitness Studios,Boston,Personal Trainer,
Femme Fitale,Boston,Personal Trainer,
"Life in Synergy, Inc.",Boston,Personal Trainer,
On The Hill Fitness,Boston,Personal Trainer,
Redline Fight Sports,Boston,Martial Arts,
Authentic Body,Boston,Wellness/Health Center,
Cabral Wellness Institute,Boston,Wellness/Health Center,
Egoscue Boston,Boston,Wellness/Health Center,
Genius Of Flexibility,Boston,Wellness/Health Center,
John Davis Therapeutic Massage,Boston,Wellness/Health Center,
JP's Massage,Boston,Wellness/Health Center,
Julie Starr-Wood Nutrition,Boston,Wellness/Health Center,
TB12 Sports Therapy Center,Boston,Wellness/Health Center,
The Boston Bodyworker,Boston,Wellness/Health Center,
The Rolf Studio,Boston,Wellness/Health Center,
Aloha Boston Massage,Boston,Other,
Host Group Real Estate Academy,Boston,Other,
Karma Yoga Studio,Boston,Yoga,
Kundalini Yoga Boston,Boston,Yoga,
Majestic Yoga Studio,Boston,Yoga,
OM+namo yoga studio,Boston,Yoga,
Shama Yoga - Cambridge,Boston,Yoga,
Beyond Fitness Pilates Studio,Boston,Pilates,
FitLab Pilates,Boston,Pilates,
Atlantis Sports Club Cambridge,Boston,Health Club,
Cambridge Athletic Club,Boston,Health Club,
Diosa,Boston,Dance,
Extreme Dancesport,Boston,Dance,
Rumba Y Timbal Dance Company,Boston,Dance,
Wu Dao Kung Fu and Tai Chi,Boston,Martial Arts,
Angela Bell Acupuncture,Boston,Wellness/Health Center,
Common Area Cleaning,Boston,Other,
Gray Mist,Boston,Other,
Coolidge Corner Yoga,Boston,Yoga,
Modern Pilates,Boston,Pilates,
The Body Center,Boston,Pilates,
GymIt,Boston,Health Club,
The Brookline Ballet School,Boston,Dance,
The Studio: A Dance Center for Adults,Boston,Dance,
Florian Martial Arts Center,Boston,Martial Arts,
Baptiste Power Yoga,Boston,Yoga,
AMC Pilates Studios,Boston,Pilates,
Beyond Fitness Pilates Studio,Boston,Pilates,
Body in Motion,Boston,Pilates,
Bodylines Pilates,Boston,Pilates,
Boston Body,Boston,Pilates,
Boston Pilates,Boston,Pilates,
Btone Fitness,Boston,Pilates,
Btone Fitness Lexington,Boston,Pilates,
ClubXcel/Northeast Pilates,Boston,Pilates,
Core,Boston,Pilates,
Core Balance,Boston,Pilates,
Core De Vie,Boston,Pilates,
Duxbury Pilates,Boston,Pilates,
Easton Pilates Studio,Boston,Pilates,
Endurance Pilates and Yoga,Boston,Pilates,
Energy Within Studio,Boston,Pilates,
Engage Your Core Pilates,Boston,Pilates,
Equinox Pilates - Boston,Boston,Pilates,
Every Body Fitness Pilates,Boston,Pilates,
Evolution Mind & Body,Boston,Pilates,
FitLab Pilates,Boston,Pilates,
Fitness Directions,Boston,Pilates,
H.Y.P. Studio,Boston,Pilates,
Healthy Changes Pilates,Boston,Pilates,
Heart Core Fitness Studio,Boston,Pilates,
IMX Pilates - MA,Boston,Pilates,
Joe's Place - True Pilates,Boston,Pilates,
Kiki Pilates,Boston,Pilates,
Liquid Movement Center,Boston,Pilates,
Mind In Motion,Boston,Pilates,
Modern Barre,Boston,Pilates,
Modern Pilates,Boston,Pilates,
My Pilates,Boston,Pilates,
OMBE,Boston,Pilates,
Oxygen Mind and Body,Boston,Pilates,
Passport Pilates - North Andover,Boston,Pilates,
Perfect Fit Pilates,Boston,Pilates,
Perfect Form Fitness,Boston,Pilates,
Performance Pilates and Yoga,Boston,Pilates,
Pilates Back Bay,Boston,Pilates,
Pilates Plus of Cape Cod,Boston,Pilates,
Port Pilates Studio,Boston,Pilates,
Precision Pilates,Boston,Pilates,
Shawn's Studio,Boston,Pilates,
Shelia Donovan Pilates Studio,Boston,Pilates,
SHRED,Boston,Pilates,
Smartbody Movement,Boston,Pilates,
Strength and Clarity Pilates Yoga-Movement Studio,Boston,Pilates,
Studio 13,Boston,Pilates,
Swell Body and Boutique,Boston,Pilates,
Taj Pilates,Boston,Pilates,
The Body Center,Boston,Pilates,
The Pilates School,Boston,Pilates,
The Pilates Studio,Boston,Pilates,
Vineyard Pilates Center,Boston,Pilates,
Anytime Fitness Easton MA,Boston,Health Club,
Atlantis Sports Club Bedford,Boston,Health Club,
Atlantis Sports Club Cambridge,Boston,Health Club,
Atlantis Sports Club Danvers,Boston,Health Club,
Atlantis Sports Club Holbrook,Boston,Health Club,
Atlantis Sports Clubs Braintree,Boston,Health Club,
Atlantis Sports Clubs Hyannis,Boston,Health Club,
Beverly Athletic Club,Boston,Health Club,
Bodyscapes Fitness - Hingham,Boston,Health Club,
Cambridge Athletic Club,Boston,Health Club,
Commonwealth Sports Club,Boston,Health Club,
Elite Health and Fitness Center,Boston,Health Club,
Fisique Fitness,Boston,Health Club,
Fit Results,Boston,Health Club,
GymIt,Boston,Health Club,
Healthworks Fitness Centers for Women,Boston,Health Club,
Latitude Sports Clubs,Boston,Health Club,
Nantucket Health Club,Boston,Health Club,
Plymouth Fitness,Boston,Health Club,
The Club,Boston,Health Club,
The Nantucket Hotel,Boston,Health Club,
Worcester Fitness,Boston,Health Club,
Yang's Fitness Center,Boston,Health Club,
Avalon Dance & Fitness,Boston,Dance,
Ballroom in Boston,Boston,Dance,
CAT Studio,Boston,Dance,
Central Mass Dance Academy,Boston,Dance,
ClubWest Dance Studio,Boston,Dance,
Dance Fever,Boston,Dance,
Dance Republic,Boston,Dance,
DanceFIT Studio,Boston,Dance,
DanceSport Academy of New England,Boston,Dance,
Dancing Arts Academy,Boston,Dance,
Diosa,Boston,Dance,
Extreme Dancesport,Boston,Dance,
Firebeat Dancesport Studios,Boston,Dance,
iDance Boston,Boston,Dance,
John Nigro Dance,Boston,Dance,
Kadanse,Boston,Dance,
Leven Institute for Expressive Movement,Boston,Dance,
LHQ Danceforce,Boston,Dance,
Masacote Entertainment,Boston,Dance,
Nancy Chippendale's Dance Studios,Boston,Dance,
NRG Productions,Boston,Dance,
Rumba Y Timbal Dance Company,Boston,Dance,
Somatic Movement Center,Boston,Dance,
Star Dance School,Boston,Dance,
Studio 665,Boston,Dance,
SuperShag Dance Studios,Boston,Dance,
The Brookline Ballet School,Boston,Dance,
The Performing Arts Connection,Boston,Dance,
The Studio: A Dance Center for Adults,Boston,Dance,
a.b. fit,Boston,Personal Trainer,
Achieve Fitness,Boston,Personal Trainer,
AIM Fitness,Boston,Personal Trainer,
Aistear Fitness,Boston,Personal Trainer,
ATC Center,Boston,Personal Trainer,
Attain Therapy + Fitness,Boston,Personal Trainer,
Avalon CrossFit,Boston,Personal Trainer,
BelaBody Fitness,Boston,Personal Trainer,
Body Ambition,Boston,Personal Trainer,
Boston's Bootcamps,Boston,Personal Trainer,
Burn Fitness Studios,Boston,Personal Trainer,
Conca Sport And Fitness,Boston,Personal Trainer,
Continuum Performance Centerâ€_,Boston,Personal Trainer,
Cutting Edge Fitness,Boston,Personal Trainer,
Dynamic Training,Boston,Personal Trainer,
Femme Fitale,Boston,Personal Trainer,
FLX Training,Boston,Personal Trainer,
Forever Fit,Boston,Personal Trainer,
Frank Nash Training Systems,Boston,Personal Trainer,
"FT Beverly, MA-013",Boston,Personal Trainer,
"FT Weston/Waltham, MA-020",Boston,Personal Trainer,
Game Time Training,Boston,Personal Trainer,
Gordon Fitness,Boston,Personal Trainer,
Health Forever,Boston,Personal Trainer,
Insync Massage & Fitness,Boston,Personal Trainer,
Intense Physique,Boston,Personal Trainer,
Iron Body Studios,Boston,Personal Trainer,
Jason Krawczyk,Boston,Personal Trainer,
Jonas Health,Boston,Personal Trainer,
"Life in Synergy, Inc.",Boston,Personal Trainer,
MBX Training,Boston,Personal Trainer,
Mint Fitness & Conditioning,Boston,Personal Trainer,
Mobile Fitness Systems,Boston,Personal Trainer,
NutFit,Boston,Personal Trainer,
NV Personal Training,Boston,Personal Trainer,
Off the Wall Personal Training,Boston,Personal Trainer,
On The Hill Fitness,Boston,Personal Trainer,
One More Rep Personal Fitness Training,Boston,Personal Trainer,
Original Body Design,Boston,Personal Trainer,
Paramount performance and rehab,Boston,Personal Trainer,
Personal Training International,Boston,Personal Trainer,
RayFit Personal Training,Boston,Personal Trainer,
Sculpt Weston,Boston,Personal Trainer,
Sculptor at Strength,Boston,Personal Trainer,
Sheehan Personal Training,Boston,Personal Trainer,
SKILL OF STRENGTH,Boston,Personal Trainer,
Snap Fitness Easthampton,Boston,Personal Trainer,
The Movement Project,Boston,Personal Trainer,
The Sweatshop,Boston,Personal Trainer,
Vantedge Performance,Boston,Personal Trainer,
Vitality Personal Fitness Inc.,Boston,Personal Trainer,
Daniel Gracies Cape Cod Academy,Boston,Martial Arts,
Davis Square Martial Arts,Boston,Martial Arts,
Excel Studios,Boston,Martial Arts,
Fenix Fight Club,Boston,Martial Arts,
Florian Martial Arts Center,Boston,Martial Arts,
Giorgio Fit,Boston,Martial Arts,
Guard Up,Boston,Martial Arts,
Holden Karate Studio,Boston,Martial Arts,
KICK,Boston,Martial Arts,
Krav Maga New Bedford,Boston,Martial Arts,
Lauzon Mixed Martial Arts,Boston,Martial Arts,
Mat Monsters Academy,Boston,Martial Arts,
Middleton Karate Academy and Fitness,Boston,Martial Arts,
"Moncreaff's Martial Arts, Yoga and Fitness",Boston,Martial Arts,
New England Self Defense NESD,Boston,Martial Arts,
Next Generation Martial Arts,Boston,Martial Arts,
Nonantum Boxing Club,Boston,Martial Arts,
Nor'easter Martial Arts and Fitness,Boston,Martial Arts,
North Shore Muay Thai Academy,Boston,Martial Arts,
Redline Fight Sports,Boston,Martial Arts,
Seacoast Tai-Chi Institute,Boston,Martial Arts,
Shobu Aikido,Boston,Martial Arts,
SitSuphan South,Boston,Martial Arts,
Tokyo Joe's Studios of Self Defense,Boston,Martial Arts,
Trifecta,Boston,Martial Arts,
USMMA,Boston,Martial Arts,
Wai Kru,Boston,Martial Arts,
Wai Kru South Shore,Boston,Martial Arts,
Worcester Martial Arts Academy,Boston,Martial Arts,
Worcester Mixed Martial Arts,Boston,Martial Arts,
Wu Dao Kung Fu and Tai Chi,Boston,Martial Arts,
Xtreme Ninja Martial Arts Center,Boston,Martial Arts,
360 NeuroMuscular Therapy,Boston,Wellness/Health Center,
4 Better Health,Boston,Wellness/Health Center,
Acupuncture Connections,Boston,Wellness/Health Center,
Acupuncture Connections,Boston,Wellness/Health Center,
Acupuncture Family Care,Boston,Wellness/Health Center,
Advanced Health and Wellness,Boston,Wellness/Health Center,
Ageless Body Sculpting,Boston,Wellness/Health Center,
Alantra Spa,Boston,Wellness/Health Center,
Angela Bell Acupuncture,Boston,Wellness/Health Center,
Authentic Body,Boston,Wellness/Health Center,
AYN Wellness,Boston,Wellness/Health Center,
B In Touch Massage Therapy,Boston,Wellness/Health Center,
Baystate Therapy ,Boston,Wellness/Health Center,
Be Well Studios,Boston,Wellness/Health Center,
Bliss Body Wellness,Boston,Wellness/Health Center,
Blue Heron Acupuncture,Boston,Wellness/Health Center,
BlueFern Massage Therapy,Boston,Wellness/Health Center,
Body Balancing Center LLC,Boston,Wellness/Health Center,
Body by Design Weight Loss Center,Boston,Wellness/Health Center,
Body Restoration Therapeutic Massage,Boston,Wellness/Health Center,
Body Therapeutics,Boston,Wellness/Health Center,
BoomerFit Cape Cod,Boston,Wellness/Health Center,
Boston Baby Beginnings,Boston,Wellness/Health Center,
Breathe Wellness,Boston,Wellness/Health Center,
Cabral Wellness Institute,Boston,Wellness/Health Center,
Charles River Gyrotonic,Boston,Wellness/Health Center,
Chelmsford Wellness Center,Boston,Wellness/Health Center,
Cindy Crowninshield,Boston,Wellness/Health Center,
CLINIC Alternative Medicines,Boston,Wellness/Health Center,
Concord Center Acupuncture,Boston,Wellness/Health Center,
Conrad Hanno LMT,Boston,Wellness/Health Center,
Cutting Edge Wellness,Boston,Wellness/Health Center,
Dr. Nicole K. Andrade,Boston,Wellness/Health Center,
East West Massage Therapy,Boston,Wellness/Health Center,
Egoscue Boston,Boston,Wellness/Health Center,
Elite Therapeutic Massage,Boston,Wellness/Health Center,
Eternal Balance,Boston,Wellness/Health Center,
Family Acupuncture & Herbs of Reading,Boston,Wellness/Health Center,
Five Points Acupuncture and Wellness,Boston,Wellness/Health Center,
Forever Slender,Boston,Wellness/Health Center,
Genius Of Flexibility,Boston,Wellness/Health Center,
Harmony Barre + Healing,Boston,Wellness/Health Center,
Hearts and Minds,Boston,Wellness/Health Center,
Ideal Wellness LLC,Boston,Wellness/Health Center,
Indigo International,Boston,Wellness/Health Center,
Inner Health Colon Hydrotherapy,Boston,Wellness/Health Center,
Inspired Release,Boston,Wellness/Health Center,
Integr8 Massachusetts,Boston,Wellness/Health Center,
ISIS Holistic Clinic,Boston,Wellness/Health Center,
John Davis Therapeutic Massage,Boston,Wellness/Health Center,
JP's Massage,Boston,Wellness/Health Center,
Julie Starr-Wood Nutrition,Boston,Wellness/Health Center,
KenkoDo,Boston,Wellness/Health Center,
LaRose Muscular Therapy,Boston,Wellness/Health Center,
Live Wild,Boston,Wellness/Health Center,
Livingwell Affiliated Health Professionals,Boston,Wellness/Health Center,
Massage at Hall Family Chiropractic,Boston,Wellness/Health Center,
Massage with Jennifer,Boston,Wellness/Health Center,
Med Skin Deep,Boston,Wellness/Health Center,
Melrose Boot Camp,Boston,Wellness/Health Center,
Moksha Spa and Wellness ctr/Moksha Power Yoga,Boston,Wellness/Health Center,
More to Life Body & Spirit Wellness,Boston,Wellness/Health Center,
New England Acupuncture and Oriental Herbal Services - Arlington,Boston,Wellness/Health Center,
New England Community Acupuncture,Boston,Wellness/Health Center,
New England Community Acupuncture - Stoneham,Boston,Wellness/Health Center,
Nourish Health With Food For Life,Boston,Wellness/Health Center,
Open Doors & Open Doors Yoga Studios,Boston,Wellness/Health Center,
Pain Management Center,Boston,Wellness/Health Center,
Ptown Massage + Bodywork,Boston,Wellness/Health Center,
Revolution Community Yoga,Boston,Wellness/Health Center,
Sanctuary Studios,Boston,Wellness/Health Center,
SetPoint Health,Boston,Wellness/Health Center,
Simply Soothing Sanctuary,Boston,Wellness/Health Center,
Skills for Living,Boston,Wellness/Health Center,
